layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.0.attn.proj.weight,"[64, 64]",4.644053936004639,0.1540394127368927,0.006600556895136833,0.0014212920405518392,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.ln2.weight,[64],7.99969482421875,0.010696055367588997,0.0008397485944442451,0.00010497257869161965,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.ln2.bias,[64],0.0029252306558191776,0.008346499875187874,0.0009384333388879895,0.3208066129832049,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.mlp.fc1.weight,"[256, 64]",9.292457580566406,0.12084990739822388,0.01396128349006176,0.0015024317699614156,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.mlp.fc1.bias,[256],1.1805939674377441,0.014901618473231792,0.0019050922710448503,0.0016136727135574755,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.mlp.fc2.weight,"[64, 256]",4.587747097015381,0.24521802365779877,0.014037626795470715,0.0030598083326352226,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.mlp.fc2.bias,[64],0.27671122550964355,0.040338363498449326,0.001018408453091979,0.0036804016577798248,0.00020999999999999998,0.7,0.7,6,smoke
blocks.1.ln1.weight,[64],7.999929428100586,0.012824403122067451,0.0008205855847336352,0.00010257410294786387,0.00020999999999999998,0.7,0.7,6,smoke
blocks.1.ln1.bias,[64],0.0031032459810376167,0.016055293381214142,0.0010782855097204447,0.3474702025908703,0.00020999999999999998,0.7,0.7,6,smoke
blocks.1.attn.qkv.weight,"[192, 64]",8.015877723693848,0.16035811603069305,0.011713533662259579,0.001461291460027635,0.00020999999999999998,0.7,0.7,6,smoke
blocks.1.attn.proj.weight,"[64, 64]",4.5753889083862305,0.14264999330043793,0.006524236407130957,0.0014259413872278013,0.00020999999999999998,0.7,0.7,6,smoke
blocks.1.ln2.weight,[64],8.00048828125,0.010450677946209908,0.0008004146511666477,0.00010004572508936799,0.00020999999999999998,0.7,0.7,6,smoke
